"CurrentApplication","Date"
"OUTLOOK","06-04-2017 10:09:16"
"OUTLOOK","06-04-2017 10:09:17"
"OUTLOOK","06-04-2017 10:09:18"
"OUTLOOK","06-04-2017 10:09:19"
"OUTLOOK","06-04-2017 10:09:21"
"OUTLOOK","06-04-2017 10:09:22"
"OUTLOOK","06-04-2017 10:09:23"
"OUTLOOK","06-04-2017 10:09:24"
"OUTLOOK","06-04-2017 10:09:25"
"OUTLOOK","06-04-2017 10:09:26"
"OUTLOOK","06-04-2017 10:09:27"
"OUTLOOK","06-04-2017 10:09:28"
"OUTLOOK","06-04-2017 10:09:29"
"OUTLOOK","06-04-2017 10:09:30"
"OUTLOOK","06-04-2017 10:09:31"
"OUTLOOK","06-04-2017 10:09:36"
"OUTLOOK","06-04-2017 10:09:37"
"OUTLOOK","06-04-2017 10:09:38"
"OUTLOOK","06-04-2017 10:09:40"
"OUTLOOK","06-04-2017 10:09:41"
"OUTLOOK","06-04-2017 10:09:42"
"OUTLOOK","06-04-2017 10:09:43"
"OUTLOOK","06-04-2017 10:09:44"
"OUTLOOK","06-04-2017 10:09:45"
"OUTLOOK","06-04-2017 10:09:46"
"OUTLOOK","06-04-2017 10:09:48"
"OUTLOOK","06-04-2017 10:09:49"
"OUTLOOK","06-04-2017 10:09:50"
"OUTLOOK","06-04-2017 10:09:51"
"OUTLOOK","06-04-2017 10:09:52"
"OUTLOOK","06-04-2017 10:09:53"
"OUTLOOK","06-04-2017 10:09:54"
"OUTLOOK","06-04-2017 10:09:55"
"OUTLOOK","06-04-2017 10:09:56"
"OUTLOOK","06-04-2017 10:09:57"
"OUTLOOK","06-04-2017 10:09:58"
"OUTLOOK","06-04-2017 10:09:59"
"OUTLOOK","06-04-2017 10:10:01"
